,vmid,vmcreated,vmdeleted,maxcpu,avgcpu,p95maxcpu,vmcorecount,vmmemory
1567615,86BmNVQp8wu77QudAfruooqBcIYAYnybqKo+cevO9yt/e8QSNZMfHCOkvpzVZbvo,0,2082900,100.0,52.12110509778232,98.470349,1,1.75
1567632,xO9ZO9iUA5CzUmz8qvsDDhHkXSQOwQdrZdA1kB7GVO8wa/pZwXJn0X1bTuk4bf95,0,2082900,100.0,52.14348595276497,98.794996,1,1.75
1567635,8Sszf/7V9xNzNHErY+wrm47O+/RDdaMPKcc8zKOy16fmacfvdFXI7yIMS2p33y1/,0,2082900,100.0,50.084917321140615,97.846757,1,1.75
1567652,Yn9+XrUPuPdTvj0u1V5YNKD7VVXDWT/lGZByE/M37QLzM5EWHn0MjdoSYFx6e+qw,0,2082900,100.0,51.98817876022473,98.551951,1,1.75
1567656,U8zS497pnsV064aba+zNnD+AeK1nRN1VxF5Cr7Ge1zGcVbbf5jCiPFftkm5P8Xso,0,2082900,100.0,52.18612348214285,98.562395,1,1.75
1567662,pdTMjowoOGz8/oVNvEUoIgUts5nLZ178RS6staMfHFiDoZB16We9IxBtUh0jCCrV,0,2082900,100.0,53.50567184274184,99.096351,1,1.75
1567686,lmoolB7MKhAOvwio78E4mgIg4qK9rHsV2gbVkBST+83z78kBxV5whYNOEZcT+g0W,0,2082900,100.0,51.839368644678174,98.975177,1,1.75
1567705,M89kj274p/AGUMUezuNl2u/PTrV40437BorK4chbrzP1VTr9YmCkyemjdRNEQhz2,0,2082900,99.92890200000001,52.87884933654955,97.757,1,1.75
1567712,B0g1nRcpxk0M6AUMAd9h2Lt/IlN4F/ayJ1x2zwKJGCKetApyfNWRvQxT6YUX3JYC,0,2082900,100.0,52.72553599884796,98.80005799999999,1,1.75
1567715,V3AEWyXu5SkSrf2P/Nhevew0od69nRpLd17OFu7gOTjQagDIFnPWzQonWp6DVqhd,0,2082900,100.0,53.9166015990206,98.830836,1,1.75
1567729,wkgvmZQn3/sPA2PnTwggYRs41RDgsuhMKmonnCIsnkbH7QnJmmMR0MayfXQbuYyp,0,2082900,100.0,52.3056062396661,98.308748,1,1.75
1567745,7dgC7kw7q1q85clv8cIsALXDemhWNphs8AQiLXoKCWMTAr5zV+4RMiDirvRWo4Ce,0,2082900,100.0,52.78490323541274,97.30466899999999,1,1.75
